index,Age,Gender,Ethnicity,Hair Style,Hair Color,Hair Length,Eye Color,Body Type,Dress
danbooru_3756379_2dc4ca8bab62d47905ab76967577d0f7.txt_0,4,0,3,10,7,2,3,7,23
danbooru_5922332_f4d7d51987a4d2667d57ab0f0dad1189.txt_1,8,1,0,10,1,2,2,7,25
danbooru_2761698_f0b927a980215536c9c6032ff7416015.txt_0,3,0,0,4,3,0,2,4,25
danbooru_2498330_e8b0eddb008cb5af0d71a9aa625ff8db.txt_0,3,0,3,4,0,0,3,7,22
danbooru_5608667_03ee699321b8df81f1c6f7c7a4216d4c.txt_1,7,0,3,10,3,2,14,0,33
danbooru_5850966_8cd39cde71b7f147ab6b66e926b3946d.txt_1,7,1,5,10,0,2,12,9,17
danbooru_4354782_41c613e399ed689d84eca45c1276ceee.txt_0,0,1,3,10,0,2,3,0,11
danbooru_2750555_8b4e96dc3e37544ebddf4382a8707dd6.txt_0,3,0,0,12,0,0,2,1,0
danbooru_4216338_f8a4742bf9b0a252780d3929a1af0111.txt_0,4,1,5,10,3,2,2,7,11
danbooru_3045780_4a3f5f82d13ce51a947899630ccffb43.txt_0,4,0,3,4,1,0,2,4,23
danbooru_4270876_d03a1536471ed1f32f7732684bd201c6.txt_0,4,1,5,10,0,2,12,9,36
danbooru_1293774_5e9cc49696bfa43d9f71ec28360aaabf.txt_0,2,0,3,4,8,0,10,7,23
danbooru_1431544_5cd7721c7919105b83248ef91db150da.txt_0,2,0,3,4,0,0,2,8,13
danbooru_5811966_b6198e302018a37b83c79c451a21b73f.txt_1,7,1,5,10,0,2,4,0,28
danbooru_5814084_863b9608bae7f267f71b7808fc200425.txt_1,0,1,5,10,1,2,2,0,9
danbooru_3587921_9aca08128d15da58a6383c2629ed945b.txt_0,4,0,0,4,0,0,5,1,0
danbooru_4087857_3cdc56c4b537262458b18c5bc5a69478.txt_0,0,0,5,4,4,0,11,9,30
danbooru_5462475_4cf5de708081584f8d3c00cec046e0a9.txt_1,7,0,5,12,0,2,11,7,24
danbooru_3698519_5a0dd99baa09939b1cf4bef576adb022.txt_0,4,0,3,10,3,2,3,8,23
danbooru_2745894_c9fb043978c681dcf3e53655862d85bc.txt_0,3,0,1,4,1,0,4,7,0
danbooru_1644260_bc63fa24178501f823652721c62381a9.txt_0,2,0,0,10,3,2,3,4,19
danbooru_5811681_fdec9ec8ba434ad0a6ffd4bb1befca20.txt_1,7,1,5,6,4,2,5,8,35
danbooru_5464391_32ed9cc353ec047566791fdfbe6f9776.txt_1,0,1,5,12,0,0,1,0,12
danbooru_2780854_0b1e606f148ecb597399b0f8607a03c6.txt_0,3,0,5,10,8,2,10,1,0
danbooru_2278348_6bb0e2945d6443ed6907699498360252.txt_0,3,0,3,4,0,0,3,4,23
danbooru_5296504_ad4a031fe2fad23599e22e9135bba093.txt_1,7,0,5,12,0,0,5,1,30
danbooru_5848602_ddd064c11e89a939bae3438a80d22cc3.txt_1,7,1,5,10,1,2,2,0,6
danbooru_2734395_8dbd6fc13b7d0833c6548e64e458de43.txt_0,7,0,3,12,0,0,3,8,19
danbooru_5848276_146920587bc9929a97b5d64c5646707f.txt_1,7,1,3,10,1,2,2,7,9
danbooru_469090_9584201f870356e0bc04a44693408a1a.txt_1,5,0,3,12,0,1,4,4,24
danbooru_5372834_0bd3c218798c6f82144777ca7f4a4b8c.txt_1,5,0,5,3,7,0,4,7,23
danbooru_3480773_5f9971ef8a93204ebc3230cc48dc4ddf.txt_0,4,0,3,4,0,0,1,8,22
danbooru_5475429_06711e7d0dc4c002dfb2395e2d4d1b53.txt_1,7,0,3,12,3,1,3,7,23
danbooru_2741138_f23da51f08a7376ec13f283c27239ebf.txt_0,3,0,3,13,4,0,0,8,20
danbooru_1707653_d2af78f400d2d7ce1367b65ddeb41caf.txt_0,2,0,3,12,3,2,3,7,23
danbooru_5435764_7bcb60930cf612802561aacc2a29ba09.txt_1,0,1,5,10,3,2,2,0,11
danbooru_5848237_443782dbaedb9cff4e4ad7dc8d7c4915.txt_1,7,1,5,10,1,2,2,0,25
danbooru_5395312_eedd6f3cb7c78ed95505aafb88af1497.txt_1,1,0,5,13,7,0,4,9,20
danbooru_1454200_26e25ce1a45690f5b9f98f6519897a46.txt_0,2,0,3,4,1,0,2,7,23
danbooru_4468859_b0276ed5c54865bd0a5580cb7eefd7c2.txt_0,7,0,0,12,3,2,3,7,32
danbooru_4268825_5282565b0965a41af6a5e5cab28d8d61.txt_0,7,1,0,10,4,2,10,7,25
danbooru_3515012_39c90a49dfa2f2c656a13d093e838386.txt_0,4,0,3,4,6,0,0,1,16
danbooru_1646478_42723275f014448ea8bb2b7b6c3a5b05.txt_0,2,0,3,12,3,1,3,4,23
danbooru_2761428_777630f6d0db89251d878236568ece26.txt_0,3,0,3,4,4,0,2,7,11
danbooru_5386879_6045adfdfb9d8372023675120f95857f.txt_1,7,1,5,10,0,2,2,0,11
danbooru_1802372_88ced35244735c8f96eb6f15dcdbc6ea.txt_0,2,0,3,12,0,0,12,8,23
danbooru_469219_020b6e91532c72cb8f7b40947ea6c41d.txt_1,5,0,3,12,0,0,1,4,15
danbooru_1426328_df06963d0c80bed73ce08dbc254061bd.txt_0,2,0,3,4,0,0,2,7,36
danbooru_5460044_9602f513d1e5f77c50acdd8110f750a3.txt_1,0,0,5,4,9,1,2,1,27
danbooru_4410024_6d64ffbc95c832305327c2b987598471.txt_0,7,1,3,12,0,0,12,0,13
danbooru_4532684_f4aad35c83136f7d6403e67c963023a3.txt_1,5,0,3,4,0,0,1,7,23
danbooru_1410336_b8851ab4c9fdfb75d7181af42e41fe42.txt_0,2,0,3,12,0,0,1,7,24
danbooru_5292173_3ff2bd31d6d388885f48ecfc914fce15.txt_1,1,0,5,5,7,1,4,8,23
danbooru_2741111_e806e544958fd40dda46cd214f9297cc.txt_0,0,0,3,4,0,0,2,1,25
danbooru_5631953_0f1aea4181db8d854cf6894c5f8db15b.txt_1,7,0,5,12,0,2,14,7,35
danbooru_1461804_5c72f0d13335b86e398e28d3d8016819.txt_0,2,0,3,12,0,0,3,7,23
danbooru_1421877_9b9ca96c62ab080e8c13f3016f5fbd8e.txt_0,2,0,3,4,8,3,10,7,23
danbooru_5671748_72c25fc69f128efd1533f65a3b3321db.txt_1,5,0,5,9,7,0,4,7,23
danbooru_2732014_dba332d75d3f21783beb3144830f4863.txt_0,3,0,1,4,1,0,3,4,14
danbooru_1400521_517cc7beef70ec489981438266581ce5.txt_0,2,0,3,4,0,0,10,7,23
danbooru_4505155_d7b06ea17111962d9c376cf7a4b70af7.txt_0,7,0,3,12,3,1,3,0,7
danbooru_5794377_809d3dfb478aa9913ade0e7e5ff8975d.txt_1,0,1,5,10,1,2,2,7,25
danbooru_1460996_8363b0a65fff81f006c010687b417659.txt_0,2,0,3,4,0,0,3,7,3
danbooru_5414418_041f7e35fae97b27ae63c552f02735c4.txt_1,7,1,0,10,7,2,8,7,25
danbooru_5288257_70bd5047c910ffa2f3b0a9975dbd3261.txt_1,0,0,0,4,0,0,11,1,6
danbooru_3329410_6fbee6ee6fc023b022282d9f7b089d35.txt_0,4,0,3,10,3,2,3,8,22
danbooru_1560796_0cd8b1fdc7fe840551e5822aaa521a35.txt_0,2,0,4,9,0,1,7,6,26
danbooru_1776558_69e1a4cae5a87c7d2f6948dd4b54fca2.txt_0,2,0,3,12,3,2,3,8,23
danbooru_469582_921b783978f9688554dc0d62a6b68909.txt_1,5,0,3,12,3,1,3,4,23
danbooru_4201499_7918f65cd22458cc21d54e8510457bbe.txt_0,4,0,3,4,0,0,11,7,10
danbooru_472638_7fdd6188acb80bc361fcd8290d0a9a78.txt_1,5,0,3,12,3,2,3,7,23
danbooru_1802434_322a462ceee1198da0508aa2f67c2a89.txt_0,2,0,5,4,0,0,0,9,6
danbooru_4035041_fba39b88669ee8fe7d0f8aad117d5f1d.txt_0,7,0,3,2,0,0,3,1,0
danbooru_5966033_cd7a502175039c9cd1052629e737dace.txt_1,7,1,5,10,1,2,12,9,4
danbooru_5484252_764ade520af00aebca9f766dcf5fda12.txt_1,7,1,3,10,10,2,2,7,28
danbooru_5471350_549c128fc8d9e0a9ee7d4f781e4d7b81.txt_1,1,0,5,10,7,2,4,9,20
danbooru_5549967_bf4af0a8c0522d528967a8ee79624186.txt_1,0,0,5,10,0,2,5,3,35
danbooru_5628583_00376ebc01f93f9a32d0264b82544cff.txt_1,1,1,5,10,0,2,12,9,20
danbooru_1402361_fa5aecdf55673c83d9090aa04f6341fb.txt_0,2,0,3,12,0,0,2,7,23
danbooru_5382128_3cc4df21e020123ec55f7517bf49ed69.txt_1,7,1,3,12,0,0,1,0,7
danbooru_1428574_0afd9cb0271dd9e9125b54cdd94a6c9a.txt_0,2,0,5,12,0,0,11,4,25
danbooru_4339555_3a5ceaeb9f0da7fb34ea8e4743698e92.txt_0,5,0,3,4,1,0,2,7,24
danbooru_2746579_77567ecc1ab3abb640095306c2ee2cc8.txt_0,3,0,2,4,1,0,3,4,14
danbooru_2714566_d1729703c406ab683b36dfdc5872266f.txt_0,3,0,5,4,4,0,0,4,20
danbooru_5497423_c07831f309821b6b2fd08d7c906f99bf.txt_1,7,0,5,2,0,1,10,1,32
danbooru_5961739_a68f6e2c9dda0d6d7ca9b1dc57c7e8c1.txt_1,7,0,0,4,3,0,3,7,11
danbooru_5505856_697788ec0435391bd4c17da02fd1a8bb.txt_1,7,0,5,9,7,2,4,9,1
danbooru_1501460_97021a777a8cba4aaddd93526f4cf6a6.txt_0,7,0,3,4,1,0,2,7,5
danbooru_4898597_52d9c6f81b9778a83b4f44f86bb24200.txt_1,7,1,5,10,10,2,12,9,6
danbooru_4665038_3569efc704249d49aea5ab462321b34c.txt_1,7,0,2,4,1,0,2,1,0
danbooru_2866600_18ba69ad90a826fcfb86ac43783f5fdb.txt_0,3,0,3,12,3,2,6,5,23
danbooru_5525269_55c72239a9421bbc28e44376084cc0e6.txt_1,7,1,3,10,0,2,2,7,23
danbooru_2718368_970626a15d0ef6736f5c51304cbbcd93.txt_0,3,0,3,13,7,0,2,1,24
danbooru_2583734_6490bd4f7a483be8484d65d0766dd354.txt_0,3,0,0,4,0,0,5,1,6
danbooru_5848618_e1c601234ac09d8dc8995432cdc2f2eb.txt_1,7,1,3,10,1,2,2,7,4
danbooru_1423079_451158f9cdf262599965bee0567ded3d.txt_0,2,0,3,4,0,0,1,7,20
danbooru_1301240_082967819644554706336ab46d513137.txt_0,2,0,3,12,0,0,1,7,24
danbooru_4399912_dca78af6b059dffb922b54373db6f038.txt_0,5,0,3,5,3,1,3,7,23
danbooru_5757820_c8d482185721affcdc74daf767a2550d.txt_1,7,0,3,1,0,1,11,7,13
danbooru_2481921_b8d0eff71e1bda641113473f8fabb6fd.txt_0,3,0,3,10,3,2,3,7,23
danbooru_1399726_ff22d0e29fb8d57a66de7f72b8c9b312.txt_0,2,0,3,12,3,2,3,4,23
danbooru_4641609_611376a9e50d0b9296a3cfa723ec5e91.txt_1,7,0,0,12,3,2,3,0,23
danbooru_2755890_d101e728181b93ad7153c5e8acc07719.txt_0,3,0,5,10,8,2,10,9,27
danbooru_5928148_2fdceec1cbe9419d892e46ee68c369c0.txt_1,7,0,3,12,1,0,14,7,27
danbooru_1423675_e415e4e2cbd3024f9df6c4d6ae635a2e.txt_0,2,0,5,12,0,0,11,9,8
danbooru_1518047_cb5e732ec5508baad3c34908223c973e.txt_0,2,0,3,12,1,0,2,7,23
danbooru_5222999_78dd4a92ae8fe0a5f37237b75e399a3c.txt_1,7,0,0,10,3,2,3,1,0
danbooru_2674741_a276cc86ae0dd63a9f74157de5881b89.txt_0,3,0,5,4,6,0,8,9,16
danbooru_1401255_98febca8f443f0a3d8c73db21c390b24.txt_0,2,0,5,2,0,0,4,4,18
danbooru_5712792_bf7251b5508385c22d5790d01dcdabb2.txt_1,7,1,0,12,0,2,2,7,18
danbooru_2743991_8afdd7cd127ce7fa56440f98b63df7b5.txt_0,3,0,3,4,4,0,2,7,24
danbooru_4608218_13bb66e238fc219ab1bb1f1fe4102d0b.txt_1,5,0,3,4,0,0,3,7,22
danbooru_3734737_b71e6bd9a2f37a8f05fc83e75d664c90.txt_0,4,0,0,2,0,0,3,1,0
danbooru_1646945_46e5016ad134577188617212f95c798b.txt_0,2,0,3,4,0,0,1,8,23
danbooru_5414557_f6bb8b8d12156ba5d1929684b30e822d.txt_1,7,1,3,11,9,2,11,7,13
danbooru_5957597_77ec502f3d1245e862193f7e4b134dcf.txt_1,0,0,5,10,3,2,4,0,28
danbooru_4484450_003c5ebb707df9d9e7eaa4147e06c073.txt_0,6,1,4,11,9,2,11,6,28
danbooru_2245580_8644027e6e5be025b0bf183632b59378.txt_0,3,0,3,12,0,0,1,7,23
danbooru_1427697_a725f35df6058fed2ed7f3fabdeae5ce.txt_0,2,0,3,4,0,0,5,8,23
danbooru_1812806_b4ff60ca9b907474efcafb59f8ea0f9c.txt_0,2,0,3,10,3,2,3,7,33
danbooru_4426734_13bc26d579f8e500b50214749ab74900.txt_0,6,1,3,12,9,2,11,7,13
danbooru_2108567_cf21baa0cf2bd10c6a4fdeae2285eb91.txt_0,3,0,0,10,3,2,3,1,32
danbooru_5808671_a22f4fc54196c214bce9972a0f6a8b73.txt_1,7,1,3,10,1,2,2,0,6
danbooru_5237342_a18dd2386e6b569914b1071c7e6bc4c2.txt_1,5,0,3,12,3,1,3,7,23
danbooru_4449415_4138e98d4e0c7612c515426e84251cff.txt_0,5,1,3,11,0,2,5,0,7
danbooru_5248584_28cc9bd38d59a1d12636d91127fd1c31.txt_1,7,1,0,10,9,2,3,0,10
danbooru_5850922_948afadaef64d7278a536be63a5a5e6c.txt_1,7,1,5,10,0,2,12,9,17
danbooru_1429484_76114fd47931229265a198369b87b7b1.txt_0,2,0,5,13,0,0,2,9,3
danbooru_5322580_3a95ef4c7def8bc473ac05f114b4a773.txt_1,0,1,5,10,1,2,2,7,28
danbooru_4449362_fc894d8b34ec17a14146db3b9802115b.txt_0,5,1,3,10,10,2,10,7,7
danbooru_4224476_74ac1489e72a4ed3f41c6fca47b69e39.txt_0,7,0,0,10,3,2,3,7,0
danbooru_5029053_c9e79ba17571d798edf38dabec5e66df.txt_1,7,0,0,4,0,0,1,1,32
danbooru_5299968_ef8ea33960c3b36db3d5fff862a04f50.txt_1,7,0,5,10,2,2,2,8,25
danbooru_1725614_7f7666ca9337ac98301680361e1e1e10.txt_0,2,0,3,4,3,0,2,1,26
danbooru_4837398_bc13384212bb3c780ea46163acb0803d.txt_1,7,1,5,10,0,2,3,8,11
danbooru_5384465_689155d7bd01f1de20184a6e7de3cb22.txt_1,7,0,5,4,0,0,11,8,2
danbooru_5850595_451786baefbec76ec9f533e46432b593.txt_1,7,1,5,10,0,2,12,9,17
danbooru_2750943_cd87faa2e51f36f64c0e1f0714d55751.txt_0,3,0,2,12,1,1,3,7,0
danbooru_5514445_79ec0cb7e8ba77cb87b0b8ae36bb6f9a.txt_1,5,1,3,11,0,2,4,7,23
danbooru_5462441_6878ca1054309c1d81577df0bcbed018.txt_1,0,0,5,2,0,0,11,7,27
danbooru_2776320_93a484ae255e8953220efacf6c12fda6.txt_0,3,0,3,4,0,0,0,8,0
danbooru_2721495_ee505120278695cdcbc74b7ae17587de.txt_0,3,0,0,4,4,0,2,7,25
danbooru_4644886_4b187610ee326adf48847535b4005464.txt_1,5,0,3,10,3,2,3,7,23
danbooru_1153302_eeda1c440acf456eb19557880edc5d37.txt_0,2,0,3,12,1,0,2,7,24
danbooru_4364097_cf3b5d9743406af56cd148c00ade9c4c.txt_0,7,1,5,10,1,2,2,7,11
danbooru_2723095_eb5c63928f81d1b4eb3a5181de99bc2f.txt_0,3,0,5,4,4,0,12,9,20
danbooru_1410344_49720374b3e873313b5f1faa99ed23ee.txt_0,2,0,3,2,0,0,2,7,24
danbooru_5557208_d5289de9020a240adf26e2e7db87e141.txt_1,1,0,5,9,7,1,4,7,1
danbooru_5813712_e4f0c0cae9353cc66c003793f7d2aed5.txt_1,7,1,5,10,0,2,2,0,4
danbooru_5911735_c44895ef324bf587ba6b4f31faa1eb76.txt_1,7,1,5,12,1,0,2,0,10
danbooru_4459374_19422f9b2a5a61b4af1b521c78af143c.txt_0,7,1,5,11,9,2,3,0,10
danbooru_1652453_54f94c5e19e8404a2fadd9b8aeed33c1.txt_0,2,0,3,10,3,2,3,4,22
danbooru_3385167_8491aa7f4ab32b05e111bff443e86da8.txt_0,4,0,0,13,3,0,3,8,16
danbooru_2282344_b80600c997f958a6f8eb7f27d3e4f0a8.txt_0,3,0,0,12,3,1,3,7,25
danbooru_5816018_e0036b87add301b9378790a7f7859ece.txt_1,7,1,5,10,1,2,6,9,4
danbooru_3930764_62c6262e3a48a124f48255d519b79232.txt_0,5,0,3,4,0,0,1,7,22
danbooru_5513900_9348f585b3bc8d2cc1f728269dddde0d.txt_1,7,0,0,12,3,2,3,7,24
danbooru_1941154_fbbcdabc9d7c2cc242baa572f5d447d8.txt_0,5,0,3,12,0,0,1,4,23
danbooru_2296435_cf160c1d1e07aa17d76754d31c814db5.txt_0,7,0,0,12,0,0,5,1,0
danbooru_5848453_bae9e9f22627ea3a6bbee8bb54f84ad2.txt_1,7,1,3,10,1,2,2,7,9
danbooru_4973031_c07ce109123a5a40136201008d8ab921.txt_1,5,0,3,12,0,0,1,7,23
danbooru_5427904_1c0cada97f8524f5509cff0e3e24c4f0.txt_1,1,0,5,3,7,1,4,7,23
danbooru_2295471_73b1344b048b1e6698e7214a28f54a10.txt_0,3,0,3,10,3,2,3,7,23
danbooru_4449528_c01681414bc7f71cb7a033560ea742e4.txt_0,7,1,5,10,0,2,10,9,11
danbooru_1405047_66f3c4a0918854388d03830a8549b0df.txt_0,2,0,3,4,1,0,2,4,24
danbooru_2745922_8641b7b09d737ff2f34a2e2d213b4b8e.txt_0,3,0,5,4,4,0,2,4,11
danbooru_3690890_51eda01fc2c6ccc196ab67fec522f19f.txt_0,8,0,0,12,3,1,3,7,25
danbooru_1176687_9d5368e102bafdef963ebb3a17b61192.txt_0,2,0,3,10,0,2,11,7,23
danbooru_5584580_ca8256cb8d77132c5fe331465da74a21.txt_1,1,0,5,9,7,2,4,9,23
danbooru_5756887_8966720404d0f3446ca1aba5d7d63f18.txt_1,7,0,5,4,0,0,11,1,31
danbooru_5290481_27819df72dd1ce3157034de85ef73aab.txt_1,5,0,5,5,7,0,11,7,23
